DBN,School.Name,Grade,Category,Number.Tested.2013,Mean.Scale.Score.2013,Three.Four.2013,Three.Four.Per.2013,Number.Tested.2014,Mean.Scale.Score.2014,Three.Four.2014,Three.Four.Per.2014,Number.Tested.2015,Mean.Scale.Score.2015,Three.Four.2015,Three.Four.Per.2015,Number.Tested.2016,Mean.Scale.Score.2016,Three.Four.2016,Three.Four.Per.2016,Number.Tested.2017,Mean.Scale.Score.2017,Three.Four.2017,Three.Four.Per.2017
19K290,PS 290 JUAN MOREL CAMPOS,5,All Students,89,300.80900000000003,19,21.34831,78,302.71789999999999,18,23.07692,70,298.87139999999999,11,15.71429,80,297.9375,19,23.75,76,299.09210000000002,26,34.21053
19K306,PS 306 ETHAN ALLEN,5,All Students,58,291.7414,8,13.7931,54,283.42590000000001,7,12.96296,63,281.7937,6,9.52381,64,275.60939999999999,6,9.375,61,287.93439999999998,10,16.39344
19K328,PS 328 PHYLLIS WHEATLEY,5,All Students,59,271.05079999999998,3,5.084746,43,272.46510000000001,4,9.302326,35,280.8571,0,0,44,275.11360000000002,5,11.36364,29,279.72410000000002,3,10.34483
19K345,PS 345 PATROLMAN ROBERT BOLDEN,5,All Students,88,292.63639999999998,16,18.18182,80,293.2,14,17.5,95,289.4316,20,21.05263,94,290.6277,25,26.59574,95,291.52629999999999,22,23.15789
19K346,PS 346 ABE STARK,5,All Students,119,292.29410000000001,29,24.36975,101,304.32670000000002,26,25.74257,100,303.23,26,26,102,284.7353,21,20.58824,103,294.61169999999998,27,26.21359
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,5,All Students,61,277.73770000000002,5,8.196721,62,271.61290000000002,4,6.451613,69,282.3768,4,5.797101,87,285.17239999999998,22,25.28736,86,291.87209999999999,16,18.60465
20K048,PS 048 MAPLETON,5,All Students,77,296.7792,22,28.57143,92,306.0761,36,39.13043,100,307.76,38,38,83,298.10840000000002,29,34.93976,81,304.96300000000002,32,39.50617
20K069,PS 69 VINCENT D GRIPPO SCHOOL,5,All Students,123,309.31709999999998,60,48.78049,159,309.60379999999998,69,43.39623,135,307.47410000000002,58,42.96296,133,315.0677,64,48.1203,152,309.88819999999998,68,44.73684
20K102,PS 102 THE BAYVIEW,5,All Students,196,309.79079999999999,87,44.38776,211,312.9905,85,40.28436,202,313.21289999999999,94,46.53465,198,316.904,110,55.55556,227,315.50220000000002,126,55.50661
20K104,PSIS 104 THE FORT HAMILTON SCHOOL,5,All Students,138,306.5652,46,33.33333,140,306.05709999999999,47,33.57143,130,308.55380000000002,51,39.23077,112,309.5625,44,39.28571,122,319.77870000000001,65,53.27869
20K105,PS 105 THE BLYTHEBOURNE,5,All Students,279,310.44799999999998,115,41.21864,310,302.49029999999999,104,33.54839,281,306.53019999999998,103,36.6548,275,303.98910000000001,108,39.27273,253,316.52170000000001,132,52.17391
20K112,PS 112 LEFFERTS PARK,5,All Students,86,310.3605,35,40.69767,80,307.32499999999999,33,41.25,80,315.875,33,41.25,87,309.0575,35,40.22989,98,316.0102,49,50
20K127,PS 127 MCKINLEY PARK,5,All Students,85,303.82350000000002,27,31.76471,82,309.37799999999999,33,40.2439,77,303.31169999999997,29,37.66234,78,311.21789999999999,35,44.87179,93,305.64519999999999,43,46.23656
20K160,PS 160 WILLIAM T SAMPSON,5,All Students,164,307.89019999999999,71,43.29268,153,301.03269999999998,52,33.98693,175,301.13139999999999,62,35.42857,172,302.61630000000002,66,38.37209,187,306.5829,81,43.31551
20K163,PS 163 BATH BEACH,5,All Students,76,297.6447,22,28.94737,74,308.70269999999999,30,40.54054,89,308.58429999999998,36,40.44944,90,305.17779999999999,31,34.44444,65,302.75380000000001,18,27.69231
20K164,PS 164 CAESAR RODNEY,5,All Students,58,305.41379999999998,20,34.48276,71,299.46480000000003,25,35.21127,68,296.5,17,25,68,297.4853,19,27.94118,60,318.01670000000001,35,58.33333
20K170,RALPH A FABRIZIO SCHOOL,5,All Students,139,309.38130000000001,51,36.69065,145,310.57929999999999,58,40,149,302.53019999999998,51,34.22819,154,301.60390000000001,60,38.96104,180,301.55560000000003,65,36.11111
20K176,PS 176 OVINGTON,5,All Students,198,321.65660000000003,113,57.07071,217,314.16590000000002,108,49.76959,231,318.50650000000002,120,51.94805,243,311.1728,121,49.79424,269,314.04090000000002,130,48.32714
20K179,PS 179 KENSINGTON,5,All Students,142,291.60559999999998,33,23.23944,136,292.1397,30,22.05882,122,293.49180000000001,34,27.86885,130,288.63080000000002,24,18.46154,128,298.07810000000001,39,30.46875
20K180,THE SEEALL ACADEMY,5,All Students,110,304.83640000000003,46,41.81818,117,298.59829999999999,30,25.64103,127,303.46460000000002,42,33.07087,86,294.81400000000002,25,29.06977,92,307.4348,36,39.13043
20K185,PS 185 WALTER KASSENBROCK,5,All Students,143,318.95800000000003,74,51.74825,134,316.62689999999998,63,47.01493,132,315.68180000000001,66,50,108,311.11110000000002,59,54.62963,111,325.99099999999999,66,59.45946
20K186,PS 186 DR IRVING A GLADSTONE,5,All Students,129,309.20929999999998,49,37.9845,148,312.93239999999997,78,52.7027,130,312.89999999999998,56,43.07692,149,303.21480000000003,57,38.25503,167,314.77839999999998,76,45.50898
20K192,PS 192  THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,5,All Students,57,298.19299999999998,13,22.80702,52,294.80770000000001,10,19.23077,56,292.2321,13,23.21429,69,294.46379999999999,22,31.88406,64,299.40629999999999,19,29.6875
20K200,PS 200 BENSON SCHOOL,5,All Students,213,313.81220000000002,101,47.41784,182,306.02749999999997,71,39.01099,194,304.46390000000002,74,38.14433,215,303.03719999999998,78,36.27907,200,305.56,70,35
20K204,PS 204 VINCE LOMBARDI,5,All Students,186,309.9785,87,46.77419,168,313.70830000000001,82,48.80952,173,310.75720000000001,86,49.71098,176,307.63639999999998,77,43.75,198,315.33839999999998,107,54.0404
20K205,PS 205 CLARION,5,All Students,122,302.77050000000003,40,32.78689,137,302.10950000000003,51,37.22628,116,310.14659999999998,58,50,130,305.3,53,40.76923,161,310.26710000000003,69,42.85714
20K229,PS 229 DYKER,5,All Students,119,328.93279999999999,79,66.38655,136,336.24259999999998,101,74.26471,162,318.3272,89,54.93827,133,331.26319999999998,98,73.68421,162,323.07409999999999,99,61.11111
20K247,PS 247 BROOKLYN,5,All Students,107,321.62619999999998,60,56.07477,116,320.3879,62,53.44828,122,317.94260000000003,63,51.63934,122,304.13929999999999,42,34.42623,124,316.10480000000001,64,51.6129
20K503,PS 503: THE SCHOOL OF DISCOVERY,5,All Students,141,280.5745,17,12.05674,135,290.83699999999999,28,20.74074,155,281.01940000000002,23,14.83871,156,278.66030000000001,19,12.17949,159,279.33960000000002,23,14.46541
20K506,PS 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,5,All Students,128,297.29689999999999,29,22.65625,99,297.34339999999997,20,20.20202,119,291.56299999999999,30,25.21008,121,295.33879999999999,35,28.92562,134,297.32839999999999,43,32.08955
21K090,PS 90 EDNA COHEN SCHOOL,5,All Students,62,294.37099999999998,15,24.19355,69,288.1884,9,13.04348,85,295.67059999999998,19,22.35294,81,289.69139999999999,13,16.04938,75,302.14670000000001,25,33.33333
21K095,PS 095 THE GRAVESEND,5,All Students,96,306.60419999999999,32,33.33333,115,299.26960000000003,32,27.82609,115,311.73910000000001,51,44.34783,107,308.85980000000001,46,42.99065,118,312.98309999999998,51,43.22034
21K097,PS 97 THE HIGHLAWN,5,All Students,108,316.72219999999999,51,47.22222,120,308.25,49,40.83333,119,306.99160000000001,52,43.69748,130,309.67689999999999,60,46.15385,137,315.81020000000001,73,53.28467
21K099,PS 099 ISAAC ASIMOV,5,All Students,74,308.18920000000003,29,39.18919,77,307.12990000000002,30,38.96104,84,305.3571,28,33.33333,85,301.89409999999998,36,42.35294,87,308.21839999999997,31,35.63218
21K100,PS 100 THE CONEY ISLAND SCHOOL,5,All Students,114,314.4298,50,43.85965,97,320.94850000000002,58,59.79381,107,320.24299999999999,64,59.81308,98,323.76530000000002,61,62.2449,90,319.63330000000002,58,64.44444
21K101,PS 101 THE VERRAZANO,5,All Students,161,314.80119999999999,73,45.34161,144,311.50689999999997,61,42.36111,147,305.78230000000002,51,34.69388,153,315.01960000000003,87,56.86275,150,324.02,99,66
21K121,PS 121 NELSON A ROCKEFELLER,5,All Students,34,299.17649999999998,10,29.41176,30,299.66669999999999,8,26.66667,24,314.45830000000001,12,50,38,313.21050000000002,18,47.36842,38,301.52629999999999,12,31.57895
21K128,PS 128 BENSONHURST,5,All Students,56,295.2321,13,23.21429,41,297.0976,10,24.39024,72,299.30560000000003,22,30.55556,72,287.58330000000001,16,22.22222,61,304.81970000000001,21,34.42623
21K153,PS 153 HOMECREST,5,All Students,61,304.34429999999998,22,36.06557,90,298.9667,30,33.33333,82,299.57319999999999,28,34.14634,85,299.24709999999999,30,35.29412,69,308.05799999999999,27,39.13043
21K177,PS 177 THE MARLBORO,5,All Students,143,308.13290000000001,54,37.76224,124,300.32260000000002,37,29.83871,149,305.40940000000001,58,38.92617,141,299.70920000000001,47,33.33333,144,300.85419999999999,54,37.5
21K188,PS 188 MICHAEL E BERDY,5,All Students,70,292.84289999999999,11,15.71429,74,291.78379999999999,13,17.56757,67,295.91039999999998,16,23.8806,77,289.48050000000001,21,27.27273,62,299.56450000000001,15,24.19355
21K199,PS 199 FREDERICK WACHTEL,5,All Students,73,311.90410000000003,35,47.94521,73,313.137,37,50.68493,73,314.4384,31,42.46575,71,302.67610000000002,24,33.80282,59,313.96609999999998,30,50.84746
21K209,PS 209 MARGARET MEAD,5,All Students,89,302.02249999999998,30,33.70787,59,311.0847,25,42.37288,74,305.94589999999999,21,28.37838,70,300.60000000000002,28,40,72,316.58330000000001,43,59.72222
21K212,PS 212 LADY DEBORAH MOODY,5,All Students,93,309.92469999999997,36,38.70968,66,300.78789999999998,19,28.78788,76,306.5,27,35.52632,92,294.22829999999999,29,31.52174,94,300.5532,31,32.97872
21K215,PS 215 MORRIS H WEISS,5,All Students,113,313.60180000000003,47,41.59292,128,319.30470000000003,63,49.21875,108,313.92590000000001,51,47.22222,145,320.91719999999998,77,53.10345,120,323.57499999999999,68,56.66667
21K216,PS 216 ARTURO TOSCANINI,5,All Students,60,320.2833,29,48.33333,69,310.7971,34,49.27536,81,306.30860000000001,29,35.80247,72,305.91669999999999,32,44.44444,87,310.28739999999999,37,42.52874
21K225,PS K225  THE EILEEN E ZAGLIN,5,All Students,90,305.77780000000001,33,36.66667,70,301.24290000000002,21,30,85,291.44709999999998,20,23.52941,99,300.83839999999998,39,39.39394,77,299.55840000000001,25,32.467529999999996
