DBN,School.Name,Grade,Category,Number.Tested.2013,Mean.Scale.Score.2013,Three.Four.2013,Three.Four.Per.2013,Number.Tested.2014,Mean.Scale.Score.2014,Three.Four.2014,Three.Four.Per.2014,Number.Tested.2015,Mean.Scale.Score.2015,Three.Four.2015,Three.Four.Per.2015,Number.Tested.2016,Mean.Scale.Score.2016,Three.Four.2016,Three.Four.Per.2016,Number.Tested.2017,Mean.Scale.Score.2017,Three.Four.2017,Three.Four.Per.2017
22K277,PS 277 GERRITSEN BEACH,5,All Students,78,323.66669999999999,45,57.69231,69,321.84059999999999,37,53.62319,68,314.30880000000002,34,50,72,328.375,48,66.66667,64,328.5625,40,62.5
22K312,PS 312 BERGEN BEACH,5,All Students,149,311.44299999999998,55,36.91275,151,315.33769999999998,77,50.99338,142,313.49299999999999,69,48.59155,130,314.83080000000001,63,48.46154,124,319.68549999999999,69,55.64516
22K315,PS K315,5,All Students,101,299.0693,25,24.75248,126,291.8492,21,16.66667,106,296.61320000000001,24,22.64151,108,301.69439999999997,39,36.11111,110,303.67270000000002,34,30.90909
23K041,PS 041 FRANCIS WHITE,5,All Students,46,279.26089999999999,3,6.521739,55,275.56360000000001,3,5.454545,71,277.97179999999997,2,2.816901,57,265.54390000000001,5,8.77193,41,270.53660000000002,1,2.439024
23K137,PSIS 137 RACHEL JEAN MITCHELL,5,All Students,35,278.22859999999997,3,8.571429,26,282.23079999999999,3,11.53846,29,279.72410000000002,3,10.34483,17,294.05880000000002,4,23.52941,25,289.72000000000003,4,16
23K150,PS 150 CHRISTOPHER,5,All Students,33,288.18180000000001,4,12.12121,35,261.88569999999999,1,2.857143,26,276.76920000000001,0,0,21,264.8571,3,14.28571,27,264.66669999999999,0,0
23K155,PS IS 155 NICHOLAS HERKIMER,5,All Students,53,281.37740000000002,4,7.54717,43,274.32560000000001,5,11.62791,34,285.79410000000001,6,17.64706,52,277.2115,4,7.692308,36,287.08330000000001,3,8.333333
23K156,PS 156 WAVERLY,5,All Students,113,287.99119999999999,14,12.38938,93,292.63440000000003,22,23.65591,130,287.43079999999998,17,13.07692,100,278.52999999999997,16,16,113,290.46019999999999,24,21.23894
23K165,PS 165 IDA POSNER,5,All Students,45,288.60000000000002,4,8.888889,30,276.56670000000003,4,13.33333,41,275.60980000000001,3,7.317073,36,288.47219999999999,6,16.66667,32,279.5,3,9.375
23K178,PS 178 SAINT CLAIR MCKELWAY,5,All Students,45,295.22219999999999,10,22.22222,33,289.06060000000002,3,9.090909,28,279.96429999999998,4,14.28571,24,278.16669999999999,4,16.66667,29,298.17239999999998,8,27.58621
23K184,PS 184 NEWPORT,5,All Students,42,281.19049999999999,5,11.90476,48,287.45830000000001,9,18.75,50,278.94,2,4,41,279.07319999999999,3,7.317073,34,277.94119999999998,2,5.882353
23K284,THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS ART AND TECHNOLOGY,5,All Students,52,263.55770000000001,1,1.923077,59,274.44069999999999,2,3.389831,51,279.94119999999998,6,11.764709999999999,46,266.1087,3,6.521739,44,284.15910000000002,4,9.090909
23K298,PS 298 DR BETTY SHABAZZ,5,All Students,24,276.16669999999999,0,0,32,274.09379999999999,1,3.125,27,279.62959999999998,3,11.11111,25,273.27999999999997,2,8,20,281.8,3,15
23K323,PSIS 323,5,All Students,48,301.02080000000001,14,29.16667,45,292.4889,3,6.666667,54,289.48149999999998,7,12.96296,27,274.92590000000001,1,3.703704,29,277.65519999999998,4,13.7931
23K327,PS 327 DR ROSE B ENGLISH,5,All Students,69,277.2319,7,10.14493,55,288,7,12.72727,58,279.3793,7,12.06897,44,259.7955,1,2.272727,50,277.66000000000003,6,12
24Q012,PS 012 JAMES B COLGATE,5,All Students,210,315.84289999999999,97,46.19048,208,309.38459999999998,86,41.34615,213,309.92020000000002,94,44.13146,221,316.60629999999998,113,51.13122,201,311.83080000000001,95,47.26368
24Q013,PS 013 CLEMENT C MOORE,5,All Students,183,311.27319999999997,75,40.98361,196,305.21429999999998,69,35.20408,219,302.95429999999999,75,34.24658,232,303.43970000000002,82,35.34483,223,302.2063,83,37.21973
24Q014,PS 014 FAIRVIEW,5,All Students,281,298.089,70,24.91103,273,293.30040000000002,66,24.17582,278,288.23739999999998,46,16.54676,279,288.15769999999998,66,23.65591,305,289.29180000000002,76,24.91803
24Q016,PS Q016 THE NANCY DEBENEDITTIS SCHOOL,5,All Students,314,299.58280000000002,80,25.47771,278,300.03960000000001,75,26.97842,294,297.3673,74,25.17007,334,292.29039999999998,83,24.8503,319,292.90280000000001,81,25.39185
24Q019,PS 019 MARINO JEANTET,5,All Students,362,297.74310000000003,89,24.58564,302,293.66890000000001,62,20.5298,279,295.35129999999998,74,26.5233,294,296.43880000000001,80,27.21088,289,289.11070000000001,62,21.45329
24Q049,PS 049 DOROTHY BONAWIT KOLE,5,All Students,104,315.04809999999998,49,47.11538,134,315.94779999999997,71,52.98507,125,311.464,59,47.2,142,317.35919999999999,72,50.70423,125,314.952,59,47.2
24Q058,PS 58  THE SCHOOL OF HEROES,5,All Students,148,301.81079999999997,52,35.13514,161,315.10559999999998,80,49.68944,141,311.94330000000002,64,45.39007,126,314.91269999999997,62,49.20635,131,310.51150000000001,55,41.98473
24Q068,PS 068 CAMBRIDGE,5,All Students,127,299.93700000000001,45,35.43307,120,283.79169999999999,22,18.33333,97,300.18560000000002,25,25.7732,105,305.59050000000002,44,41.90476,102,287.48039999999997,25,24.5098
24Q071,PS 071 FOREST,5,All Students,140,305.72859999999997,40,28.57143,144,301.02080000000001,45,31.25,144,299.01389999999998,39,27.08333,119,302.25209999999998,39,32.77311,128,302.71089999999998,43,33.59375
24Q081,PS 81Q JEAN PAUL RICHTER,5,All Students,167,294.58679999999998,37,22.15569,204,291.38729999999998,36,17.64706,163,291.42939999999999,27,16.56442,170,293.30590000000001,49,28.82353,116,300,31,26.72414
24Q087,PSIS 087 MIDDLE VILLAGE,5,All Students,61,303.459,23,37.70492,48,304.5,20,41.66667,56,305.66070000000002,20,35.71429,66,308.24239999999998,33,50,42,304.04759999999999,17,40.47619
24Q088,PS 088 SENECA,5,All Students,172,297.69189999999998,42,24.4186,133,299.12029999999999,39,29.32331,155,295.88389999999998,42,27.09677,158,297.26580000000001,49,31.01266,167,296.24549999999999,42,25.1497
24Q089,PS 089 ELMHURST,5,All Students,309,299.15530000000001,85,27.50809,316,299.66140000000001,88,27.8481,309,306.3657,118,38.1877,305,304.6918,121,39.67213,308,304.25319999999999,112,36.36364
24Q091,PS 091 RICHARD ARKWRIGHT,5,All Students,131,301.77859999999998,44,33.58779,124,299.62099999999998,32,25.80645,125,300.048,36,28.8,111,302.54950000000002,37,33.33333,114,300.01749999999998,38,33.33333
24Q102,PS 102 BAYVIEW,5,All Students,151,302.09269999999998,51,33.77483,131,312.53440000000001,56,42.74809,159,314.03769999999997,71,44.65409,164,309.1463,70,42.68293,145,308.05520000000001,51,35.17241
24Q113,PSIS 113 ANTHONY J PRANZO,5,All Students,111,316.50450000000001,56,50.45045,111,310.54950000000002,47,42.34234,132,308.61360000000002,50,37.87879,107,315.4486,57,53.27103,93,314.32260000000002,46,49.46237
24Q128,PS 128 THE LORRAINE TUZZO JUNIPER VALLEY ELEMENTARY SCHOOL,5,All Students,86,323.01159999999999,48,55.81395,88,318.77269999999999,43,48.86364,102,320.63729999999998,59,57.84314,95,318.6737,54,56.84211,122,333.36070000000001,87,71.31148
24Q143,PS 143 LOUIS ARMSTRONG,5,All Students,240,293.88749999999999,44,18.33333,256,288.10939999999999,39,15.23438,288,285.33330000000001,45,15.625,252,279.59129999999999,28,11.11111,298,277.69130000000001,37,12.41611
24Q153,PS 153 MASPETH ELEM,5,All Students,195,310.71789999999999,91,46.66667,187,310.68979999999999,80,42.78075,202,306.03469999999999,76,37.62376,191,309.76440000000002,83,43.4555,173,319.4624,99,57.22543
24Q229,PS 229 EMANUEL KAPLAN,5,All Students,186,313.2097,84,45.16129,205,310.5659,82,40,205,318.27800000000002,103,50.2439,194,315.68040000000002,108,55.6701,205,326.05369999999999,131,63.90244
24Q239,PS 239,5,All Students,120,291.86669999999998,20,16.66667,94,292.51060000000001,19,20.21277,98,288.24489999999997,21,21.42857,102,292.03919999999999,20,19.60784,90,298.18889999999999,26,28.88889
24Q307,PIONEER ACADEMY,5,All Students,25,298.83999999999997,4,16,170,290.40589999999997,23,13.52941,180,295.9778,41,22.77778,160,296.96249999999998,40,25,165,295.89699999999999,36,21.81818
24Q877,THE 51 AVENUE ACADEMY  THE PATH TO ACADEMIC EXCELLENCE,5,All Students,227,308.70479999999998,90,39.64758,236,303.87709999999998,81,34.32203,276,309.13040000000001,103,37.31884,246,311.19510000000002,121,49.18699,224,309.1696,92,41.07143
25Q020,PS 020 JOHN BOWNE,5,All Students,209,306.7081,68,32.53589,196,302.0102,59,30.10204,224,306.79020000000003,87,38.83929,218,310.99079999999998,101,46.33028,223,309.27350000000001,106,47.53363
25Q021,PS 021 EDWARD HART,5,All Students,185,318.5514,96,51.89189,216,314.79169999999999,109,50.46296,214,315.9579,103,48.13084,205,321.85849999999999,119,58.04878,202,319.72770000000003,106,52.47525
25Q022,PS 022 THOMAS JEFFERSON,5,All Students,112,317.1071,57,50.89286,132,316.50760000000002,69,52.27273,99,311.6465,43,43.43434,123,323.11380000000003,70,56.91057,136,310.75,57,41.91176
25Q024,PS 024 ANDREW JACKSON,5,All Students,161,314.40989999999999,70,43.47826,152,312.31580000000002,72,47.36842,168,311.04169999999999,68,40.47619,181,318.91160000000002,106,58.56354,173,320.23700000000002,101,58.3815
25Q029,PS 029 QUEENS,5,All Students,90,298.0222,26,28.88889,91,296.09890000000001,19,20.87912,124,296.56450000000001,32,25.80645,118,301.61020000000002,43,36.44068,105,305.34289999999999,48,45.71429
25Q032,PS 032 STATE STREET,5,All Students,126,329.05560000000003,80,63.49206,132,327.697,89,67.42424,145,317.15859999999998,72,49.65517,155,325.42579999999998,100,64.51613,151,319.702,88,58.27815
25Q079,PS 079 FRANCIS LEWIS,5,All Students,111,323.46850000000001,64,57.65766,132,310.17419999999998,54,40.90909,145,322.39999999999998,83,57.24138,143,318.44060000000002,74,51.74825,164,323.22559999999999,98,59.756100000000004
25Q107,PS 107 THOMAS A DOOLEY,5,All Students,148,315.1216,79,53.37838,149,311.0403,59,39.59732,133,309.49619999999999,60,45.11278,147,313.1497,74,50.34014,135,311.31849999999997,64,47.40741
25Q120,PS 120 QUEENS,5,All Students,144,308.63889999999998,57,39.58333,123,306.60980000000001,50,40.65041,166,309.53609999999998,79,47.59036,155,303.30970000000002,62,40,150,303.18,57,38
25Q129,PS 129 PATRICIA LARKIN,5,All Students,135,306.78519999999997,45,33.33333,177,307.00560000000002,65,36.72316,141,315.9504,67,47.51773,162,313.15429999999998,80,49.38272,155,313.92259999999999,74,47.74194
25Q154,PS 154 QUEENS,5,All Students,86,312.61630000000002,42,48.83721,100,302.61,27,27,111,306.36040000000003,40,36.03604,122,310,55,45.08197,116,311.18970000000002,51,43.96552
25Q163,PS 163 FLUSHING HEIGHTS,5,All Students,89,320.25839999999999,50,56.17978,81,310.8519,35,43.20988,90,317.38889999999998,47,52.22222,85,308.10590000000002,35,41.17647,99,320.88889999999998,56,56.56566
25Q164,PS 164 QUEENS VALLEY,5,All Students,55,315.67270000000002,25,45.45455,56,313.6429,26,46.42857,46,326.65219999999999,27,58.69565,57,322.22809999999998,36,63.15789,57,314.43860000000001,28,49.12281
25Q165,PS 165 EDITH K BERGTRAUM,5,All Students,92,317.29349999999999,44,47.82609,98,309.39800000000002,40,40.81633,81,314.86419999999998,42,51.85185,91,311.3297,48,52.74725,93,305.40859999999998,37,39.78495
25Q169,PS 169 BAY TERRACE,5,All Students,58,310.4828,23,39.65517,56,317.71429999999998,24,42.85714,52,318.15379999999999,27,51.92308,55,324.03640000000001,34,61.81818,63,310.57139999999998,25,39.68254
25Q184,PS 184 FLUSHING MANOR,5,All Students,87,318.68970000000002,47,54.02299,82,306.08539999999999,35,42.68293,88,314.46589999999998,39,44.31818,76,325.82889999999998,49,64.47368,78,327.9744,47,60.25641
25Q193,PS 193 ALFRED J KENNEDY,5,All Students,73,315.5616,33,45.20548,69,319.66669999999999,45,65.21739,56,316.0179,27,48.21429,68,314.61759999999998,34,50,57,321.59649999999999,33,57.89474
25Q200,PSMS 200  THE POMONOK SCHOOL & STAR ACADEMY,5,All Students,44,305.97730000000001,18,40.90909,43,299.58139999999997,12,27.90698,53,306.0566,17,32.07547,46,312.30430000000001,26,56.52174,42,312.73809999999997,18,42.85714
25Q201,PS 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,5,All Students,58,299.43099999999998,13,22.41379,60,288.26670000000001,4,6.666667,79,300.15190000000001,22,27.8481,66,305.51519999999999,28,42.42424,60,295.08330000000001,16,26.66667
25Q209,PS 209 CLEARVIEW GARDENS,5,All Students,90,328.8,50,55.55556,94,325.24470000000002,57,60.6383,107,318.62619999999998,57,53.27103,99,319.87880000000001,58,58.58586,126,330.38099999999997,76,60.31746
25Q214,PS 214 CADWALLADER COLDEN,5,All Students,87,301.44830000000002,33,37.93103,63,309.76190000000003,28,44.44444,81,313,35,43.20988,81,307.53089999999997,33,40.74074,76,316.56580000000002,40,52.63158
25Q219,PS 219 PAUL KLAPPER,5,All Students,68,297.89710000000002,18,26.47059,53,300.26420000000002,13,24.5283,46,295.97829999999999,12,26.08696,59,309.98309999999998,27,45.76271,63,305.55560000000003,23,36.50794
25Q499,THE QUEENS COLLEGE SCHOOL FOR MATH SCIENCE AND TECHNOLOGY,5,All Students,52,322.98079999999999,31,59.61538,54,314.81479999999999,25,46.2963,51,323.64710000000002,28,54.90196,47,332.10640000000001,34,72.34043,50,332.12,35,70
26Q018,PS 018 WINCHESTER,5,All Students,77,328.27269999999999,51,66.23377,53,302.39620000000002,15,28.30189,81,307.69139999999999,35,43.20988,84,319.90480000000002,47,55.95238,93,323.51609999999999,54,58.06452
26Q026,PS 026 RUFUS KING,5,All Students,97,322.57729999999998,51,52.57732,67,319.41789999999997,32,47.76119,110,319.32729999999998,54,49.09091,92,321.45650000000001,54,58.69565,100,322.26,57,57
26Q031,PS 031 BAYSIDE,5,All Students,72,321.31939999999997,39,54.16667,87,314.91950000000003,41,47.12644,76,321.8553,45,59.21053,80,318.42500000000001,35,43.75,87,320.56319999999999,41,47.12644
26Q041,PS 041 CROCHERON,5,All Students,83,330.40960000000001,59,71.08434,94,331.79790000000003,71,75.53191,91,322.78019999999998,51,56.04396,84,327.05950000000001,58,69.04762,88,329.2045,63,71.59091
26Q046,PS 046 ALLEY POND,5,All Students,73,323.6438,44,60.27397,92,317.1087,47,51.08696,90,323.08890000000002,57,63.33333,91,320.96699999999998,55,60.43956,99,325.75760000000002,64,64.64646
26Q094,PS 094 DAVID D PORTER,5,All Students,77,316.61040000000003,39,50.64935,79,317.67090000000002,40,50.63291,72,321.34719999999999,41,56.94444,57,316.52629999999999,31,54.38596,67,331.40300000000002,48,71.64179
26Q098,PS 098 THE DOUGLASTON SCHOOL,5,All Students,32,339.65629999999999,25,78.125,43,331.74419999999998,27,62.7907,40,331.42500000000001,26,65,28,334.1429,21,75,24,322.20830000000001,17,70.83333
26Q115,THE JAMES J AMBROSE SCHOOL,5,All Students,86,320.79070000000002,50,58.13953,86,323.47669999999999,48,55.81395,80,335.9,55,68.75,102,328.50979999999998,69,67.64706,78,334.70510000000002,56,71.79487
26Q133,PS 133 QUEENS,5,All Students,89,321.41570000000002,51,57.30337,63,310,22,34.92063,64,320.67189999999999,37,57.8125,66,322.03030000000001,38,57.57576,58,335.0172,42,72.41379
26Q159,PS 159,5,All Students,76,320.59210000000002,39,51.31579,99,315.50510000000003,54,54.54545,108,324.88889999999998,68,62.96296,95,318.24209999999999,60,63.15789,111,320.94589999999999,66,59.45946
26Q162,PS 162 JOHN GOLDEN,5,All Students,122,327.96719999999999,78,63.93443,112,322.46429999999998,63,56.25,126,325.16669999999999,83,65.87302,123,321.97559999999999,71,57.72358,122,319.75409999999999,60,49.18033
26Q173,PS 173 FRESH MEADOWS,5,All Students,126,326.83330000000001,81,64.28571,150,316.91329999999999,78,52,158,324.98099999999999,100,63.29114,161,315.2174,80,49.68944,156,323.41669999999999,88,56.41026
26Q178,PS IS 178 HOLLISWOOD,5,All Students,62,309.77420000000001,26,41.93548,62,316.62900000000002,30,48.3871,61,315.42619999999999,27,44.2623,62,317.16129999999998,33,53.22581,57,309.08769999999998,24,42.10526
26Q186,PS 186 CASTLEWOOD,5,All Students,47,318.61700000000002,23,48.93617,29,315.1379,16,55.17241,60,324.73329999999999,34,56.66667,45,321.31110000000001,31,68.88889,44,334.86360000000002,36,81.81818
26Q188,PS 188 KINGSBURY,5,All Students,83,337.26510000000002,63,75.90361,88,329.64769999999999,61,69.31818,86,331,55,63.95349,90,332.35559999999998,72,80,86,341.8605,70,81.39535
26Q191,PS 191 MAYFLOWER,5,All Students,57,323.54390000000001,30,52.63158,65,318.43079999999998,37,56.92308,67,314.56720000000001,32,47.76119,54,324.18520000000001,36,66.66667,61,306.26229999999998,21,34.42623
26Q203,PS 203 OAKLAND GARDENS,5,All Students,138,341.18119999999999,112,81.15942,137,335.67880000000002,102,74.45255,147,334.68029999999999,96,65.30612,145,336.92410000000001,114,78.62069,113,339.12389999999999,83,73.45133
26Q205,PS 205 ALEXANDER GRAHAM BELL,5,All Students,56,328.4821,37,66.07143,49,329.71429999999998,35,71.42857,49,335.87759999999997,39,79.59184,46,332.3261,35,76.08696,42,334.19049999999999,29,69.04762
26Q213,PS 213 THE CARL ULLMAN SCHOOL,5,All Students,69,325.5797,45,65.21739,56,321.16070000000002,34,60.71429,59,323.678,35,59.32203,51,322.52940000000001,32,62.7451,56,325,30,53.57143
26Q221,PS 221 THE NORTH HILLS SCHOOL,5,All Students,86,329.84879999999998,56,65.11628,101,326.25740000000002,60,59.40594,116,321.85340000000002,71,61.2069,92,326.8152,58,63.04348,109,332.04590000000002,72,66.05505
26Q266,PSIS 266,5,All Students,56,328.9821,40,71.42857,87,316.5172,47,54.02299,56,321.5,34,60.71429,49,322.0204,27,55.10204,73,323.863,41,56.16438
27Q042,PSMS 042 R VERNAM,5,All Students,64,273.3125,2,3.125,84,270.6429,4,4.761905,55,272.52730000000003,4,7.272727,69,279.6232,6,8.695652,79,275.32909999999998,9,11.39241
27Q043,PS 043,5,All Students,107,289.29910000000001,13,12.14953,109,291.22019999999998,14,12.84404,106,275.19810000000001,5,4.716981,114,281.34210000000002,20,17.54386,102,281.35289999999998,15,14.70588
27Q045,PS 045 CLARENCE WITHERSPOON,5,All Students,65,296.33850000000001,17,26.15385,51,297.54899999999998,12,23.52941,53,275.01889999999997,5,9.433962,36,286.16669999999999,4,11.11111,43,288.55810000000002,11,25.5814
27Q047,PS 047 CHRIS GALAS,5,All Students,32,314.59379999999999,19,59.375,22,312.81819999999999,9,40.90909,23,322.73910000000001,14,60.86957,27,321.8519,17,62.96296,24,326.66669999999999,14,58.33333
27Q056,PS 056 HARRY EICHLER,5,All Students,89,295.85390000000001,24,26.96629,96,298.90629999999999,30,31.25,96,305.8229,34,35.41667,86,302.67439999999999,27,31.39535,89,301.7303,33,37.07865
27Q060,PS 060 WOODHAVEN,5,All Students,177,310.81360000000001,69,38.98305,191,298.02089999999998,50,26.17801,191,305.1728,58,30.36649,151,307.86090000000002,60,39.7351,180,306.18329999999997,61,33.88889
27Q062,P S 62  CHESTER PARK SCHOOL,5,All Students,157,313.32479999999998,70,44.58599,146,304.70549999999997,48,32.87671,151,304.19209999999998,50,33.11258,145,304.02069999999998,60,41.37931,141,304.34039999999999,53,37.58865
27Q063,PS 063 OLD SOUTH,5,All Students,210,308.65710000000001,70,33.33333,202,297.44060000000002,47,23.26733,199,303.45729999999998,68,34.17085,219,305.31049999999999,95,43.379,245,308.75099999999998,101,41.22449
27Q064,PS 064 JOSEPH P ADDABBO,5,All Students,116,302.8707,40,34.48276,89,303.39330000000001,31,34.83146,102,309.29410000000001,39,38.23529,117,300.65809999999999,43,36.75214,109,298.70639999999997,36,33.02752
27Q065,PS 65  THE RAYMOND YORK ELEMENTARY SCHOOL,5,All Students,83,299.03609999999998,18,21.68675,87,295.01150000000001,23,26.43678,89,306.15730000000002,33,37.07865,77,297.05189999999999,17,22.07792,76,306.3553,28,36.84211
27Q066,PS 066 JACQUELINE KENNEDY ONASSIS,5,All Students,71,314.95769999999999,27,38.02817,70,301.67140000000001,17,24.28571,84,316.98809999999997,37,44.04762,86,310.39530000000002,37,43.02326,66,307.36360000000002,26,39.39394
27Q090,PS 090 HORACE MANN,5,All Students,130,306.28460000000001,49,37.69231,149,299,33,22.14765,106,302.77359999999999,33,31.13208,121,297.7355,34,28.09917,134,299.69400000000002,37,27.61194
27Q096,PS 096,5,All Students,29,303.34480000000002,8,27.58621,56,303.94639999999998,20,35.71429,40,315.67500000000001,18,45,40,307.375,18,45,41,309.80489999999998,12,29.26829
27Q097,PS 097 FOREST PARK,5,All Students,106,306.0849,42,39.62264,98,305.0204,31,31.63265,107,305.81310000000002,35,32.71028,98,305.74489999999997,44,44.89796,115,300.81740000000002,35,30.43478
27Q100,PS 100 GLEN MORRIS,5,All Students,143,301.15379999999999,45,31.46853,162,307.98770000000002,59,36.41975,153,301.8039,57,37.2549,149,301.54360000000003,50,33.55705,126,319.34129999999999,68,53.96825
27Q104,PS 104 THE BAYS WATER,5,All Students,88,292.97730000000001,18,20.45455,93,289.25810000000001,19,20.43011,99,276.19189999999998,9,9.090909,95,279.42110000000002,15,15.78947,97,286.07220000000001,20,20.61856
27Q105,PS 105 THE BAY SCHOOL,5,All Students,81,285.44439999999997,7,8.641975,95,277.88420000000002,8,8.421053,80,279.48750000000001,7,8.75,81,281.60489999999999,13,16.04938,78,274.92309999999998,4,5.128205
27Q106,LIGHTHOUSE ELEMENTARY SCHOOL,5,All Students,62,303.7097,19,30.64516,35,288.8571,4,11.42857,31,260.64519999999999,2,6.451613,28,279.3929,7,25,33,276.81819999999999,4,12.12121
27Q108,PS 108 CAPTAIN VINCENT G FOWLER,5,All Students,212,312.35849999999999,91,42.92453,211,310.75830000000002,79,37.44076,209,315.46409999999997,94,44.97608,228,314.93860000000001,106,46.49123,220,312.71820000000002,107,48.63636
27Q114,PSMS 114 BELLE HARBOR,5,All Students,103,327.49509999999998,65,63.1068,125,318.06400000000002,67,53.6,78,319.8974,45,57.69231,100,321.3,59,59,78,330.1026,58,74.35897
27Q123,PS 123,5,All Students,103,294.47570000000002,15,14.56311,110,292.7364,20,18.18182,85,287.98820000000001,15,17.64706,110,292.60000000000002,22,20,89,293.85390000000001,16,17.97753
27Q124,PS 124 OSMOND A CHURCH,5,All Students,177,306.54239999999999,62,35.02825,151,299.98009999999999,34,22.51656,147,298.71429999999998,36,24.4898,142,299.82389999999998,50,35.21127,171,307.69009999999997,64,37.4269
27Q146,PS 146 HOWARD BEACH,5,All Students,85,303.91759999999999,30,35.29412,69,310.13040000000001,29,42.02899,95,302.58949999999999,28,29.47368,60,304.36669999999998,25,41.66667,88,313.8295,42,47.72727
27Q155,PS 155,5,All Students,76,301.76319999999998,23,30.26316,72,301.84719999999999,17,23.61111,81,302.1728,17,20.98765,91,304.8571,32,35.16484,70,310.78570000000002,33,47.14286
27Q183,PS 183 DR RICHARD R GREEN,5,All Students,51,288.05880000000002,10,19.60784,56,272.91070000000002,3,5.357143,66,281.66669999999999,7,10.60606,69,272.15940000000001,7,10.14493,66,278.18180000000001,5,7.575758
27Q197,PS 197 THE OCEAN SCHOOL,5,All Students,62,279.40320000000003,1,1.612903,71,268.52109999999999,3,4.225352,75,281.04000000000002,12,16,68,279.20589999999999,5,7.352941,60,270.31670000000003,4,6.666667
27Q207,PS 207 ROCKWOOD PARK,5,All Students,74,309.41890000000001,29,39.18919,95,314.92630000000003,41,43.15789,103,313.78640000000001,44,42.71845,78,305.65379999999999,34,43.58974,58,321.72410000000002,29,50
27Q223,PS 223 LYNDON B JOHNSON,5,All Students,106,294.62259999999998,23,21.69811,83,292.09640000000002,14,16.86747,90,292.34440000000001,26,28.88889,78,297.15379999999999,21,26.92308,88,293.34089999999998,20,22.72727
27Q232,PS 232 LINDENWOOD,5,All Students,110,314.84550000000002,51,46.36364,132,313.87119999999999,55,41.66667,126,317.74599999999998,64,50.79365,149,314.35570000000001,68,45.63758,127,324.88979999999998,72,56.69291
27Q253,PS 253,5,All Students,54,281.55560000000003,5,9.259259,87,280.01150000000001,10,11.49425,68,278.89710000000002,9,13.235290000000001,67,287.80599999999998,14,20.89552,90,274.93329999999997,8,8.888889
27Q254,PS 254  THE ROSA PARKS SCHOOL,5,All Students,88,304.48860000000002,23,26.13636,101,311.495,41,40.59406,95,314.18950000000001,42,44.21053,104,309.94229999999999,49,47.11538,95,310.37889999999999,40,42.10526
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,5,All Students,31,305.35480000000001,8,25.80645,74,296.3784,18,24.32432,86,299.97669999999999,27,31.39535,79,302.31650000000002,33,41.77215,59,300.96609999999998,22,37.28814
27Q317,WATERSIDE CHILDREN S STUDIO SCHOOL,5,All Students,42,283.40480000000002,3,7.142857,56,296.1071,15,26.78571,66,293.197,17,25.75758,63,297.76190000000003,24,38.09524,72,299.56939999999997,21,29.16667
27Q333,GOLDIE MAPLE ACADEMY,5,All Students,63,296.8254,14,22.22222,57,293.98250000000002,8,14.03509,46,303.2826,16,34.78261,45,303.26670000000001,16,35.55556,42,301.07139999999998,9,21.42857
28Q040,PS 040 SAMUEL HUNTINGTON,5,All Students,74,287.13510000000002,5,6.756757,72,282.01389999999998,3,4.166667,83,285.78309999999999,9,10.84337,89,278.44940000000003,15,16.85393,84,289.34519999999998,15,17.85714
28Q048,PS 048 WILLIAM WORDSWORTH,5,All Students,61,289.06560000000002,11,18.03279,50,286.32,9,18,61,284.26229999999998,11,18.03279,69,292.89859999999999,19,27.53623,81,305.62959999999998,28,34.5679
28Q050,PS 050 TALFOURD LAWN ELEMENTARY SCHOOL,5,All Students,108,296.76850000000002,25,23.14815,136,295.91180000000003,31,22.79412,98,308.0102,38,38.77551,108,302.23149999999998,40,37.03704,125,302.24,49,39.2
28Q054,PS 054 HILLSIDE,5,All Students,80,297.58749999999998,18,22.5,75,289.72000000000003,13,17.33333,96,291.0729,16,16.66667,79,294.53160000000003,22,27.8481,73,294.28769999999997,19,26.0274
28Q055,PS 055 MAURE,5,All Students,83,292.14460000000003,16,19.27711,84,292.07139999999998,18,21.42857,67,299.8657,21,31.34328,72,297,21,29.16667,74,307.36489999999998,31,41.89189
28Q080,PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,5,All Students,86,290,17,19.76744,76,284.28949999999998,10,13.15789,85,282.94119999999998,9,10.58824,86,293.48840000000001,18,20.93023,64,291.98439999999999,12,18.75
28Q082,PS 082 HAMMOND,5,All Students,103,294.50490000000002,28,27.18447,93,300.98919999999998,26,27.95699,102,290.6961,20,19.60784,100,296.45999999999998,25,25,101,298.94060000000002,27,26.73267
28Q086,PS Q086,5,All Students,253,293.5138,56,22.13439,136,297.53680000000003,41,30.14706,103,311.0874,48,46.60194,71,309.66199999999998,37,52.11268,155,297.60649999999998,52,33.54839
28Q099,PS 099 KEW GARDENS,5,All Students,119,309.47899999999998,54,45.37815,116,302.4828,37,31.89655,118,310.56779999999998,52,44.0678,117,311,57,48.71795,117,312.22219999999999,59,50.42735
28Q101,PS 101 SCHOOL IN THE GARDENS,5,All Students,111,342.964,83,74.77477,88,328.34089999999998,58,65.90909,84,327.95240000000001,51,60.71429,89,327.11239999999998,58,65.16854,106,334.36790000000002,80,75.4717
